الفرع,من المسؤول عن دفع القسط,هل تعمل الى جانب الدراسة,المحافظة,عدد الساعات لمسجل عليها,هل سبق وأن تأخر في سداد القسط عن الموعد المحدد,المعدل التراكمي التقريبي من 100,نسبة الحضور في جميع المقررات من 100,عدد المرات التي تأخرت بها عن تسديد القسط,اقصى مدة زمنية تأخرت بها عن تسديد القسط بالايام,عدد المرات التي لم تتأخر بها عن تسديد القسط,الدخل المالي الشهري للعائلة بالدولار حصرا,عدد الاخوة والاخوات الطلاب في التعليم الجامعي الخاص,قيمة القسط الفصلي بشكل تقديري,هل سددت القسط الأخير في موعده,السنة الدراسية,عدد الاشخاص العاملين بالاسرة,هل توجد أقساط جامعية سابقة غير مسددة,السكن,بعد سكن الطالب عن مركز الجامعة بالكيلو متر
هندسة معلوماتية,الطالب,نعم,ادلب,6.0,نعم,65.0,50,2.0,10.0,10.0,بين 100 و 200,1.0,150.0,نعم,خامسة,2,نعم,ملك,100.0
هندسة معلوماتية,الأسرة(اب-أم),نعم,حلب,9.0,نعم,70.0,90,3.0,2.0,10.0,بين 100 و 200,1.0,150.0,نعم,خامسة,1,لا,ملك,3.0
هندسة معلوماتية,الأسرة(اب-أم),لا,حلب,9.0,لا,75.0,75,1.0,1.0,6.0,اقل من 100,1.0,400.0,نعم,ثالثة,1,لا,ملك,5.0
هندسة معلوماتية,الأسرة(اب-أم),لا,ادلب,18.0,لا,85.0,95,1.0,3.0,8.0,بين 200 و 500,1.0,200.0,نعم,رابعة,2,لا,ايجار,7.0
هندسة معلوماتية,الطالب,نعم,حلب,9.0,نعم,80.0,40,2.0,15.0,5.0,بين 200 و 500,1.0,400.0,نعم,ثالثة,3,لا,ملك,40.0
هندسة معلوماتية,الطالب,لا,ادلب,9.0,نعم,70.0,30,3.0,10.0,3.0,بين 200 و 500,1.0,200.0,لا,خامسة,3,لا,ايجار,5.0
هندسة معلوماتية,الأسرة(اب-أم),لا,حماه,9.0,نعم,77.0,80,3.0,7.0,6.0,بين 500 و 1000,1.0,250.0,نعم,رابعة,1,لا,ايجار,3.0
هندسة معلوماتية,الطالب,نعم,حلب,6.0,نعم,70.0,65,4.0,20.0,8.0,اكثر من 1000,1.0,150.0,نعم,خامسة,3,لا,ملك,90.0
هندسة معلوماتية,الطالب,نعم,ادلب,9.0,لا,72.0,75,2.0,5.0,6.0,بين 100 و 200,2.0,190.0,نعم,رابعة,2,لا,ايجار,25.0
هندسة معلوماتية,الطالب,نعم,ادلب,6.0,نعم,50.0,90,3.0,15.0,1.0,بين 200 و 500,2.0,100.0,لا,ثانية,3,نعم,ايجار,5.0
هندسة معلوماتية,الأسرة(اب-أم),نعم,حلب,9.0,نعم,70.0,95,5.0,30.0,1.0,بين 100 و 200,2.0,190.0,لا,ثانية,1,نعم,ايجار,60.0
