عدد الساعات لمسجل عليها,المعدل التراكمي التقريبي من 100,نسبة الحضور في جميع المقررات من 100,عدد المرات التي تأخرت بها عن تسديد القسط,عدد المرات التي لم تتأخر بها عن تسديد القسط,عدد الاخوة والاخوات الطلاب في التعليم الجامعي الخاص,قيمة القسط الفصلي بشكل تقديري,عدد الاشخاص العاملين بالاسرة,بعد سكن الطالب عن مركز الجامعة بالكيلو متر,target_class,target_delay_days,السنة_الدراسية_ord,الدخل_الشهري_ord,هل_تعمل_bin,هل_سبق_تأخر_bin,أقساط_سابقة_غير_مسددة_bin,الفرع_علوم طبية وصحية,الفرع_هندسة مدنية,الفرع_هندسة معلوماتية,من المسؤول عن دفع القسط_الطالب,من المسؤول عن دفع القسط_جهة داعمة,من المسؤول عن دفع القسط_منحة,المحافظة_اللاذقية,المحافظة_حلب,المحافظة_حماه,المحافظة_حمص,المحافظة_درعا,المحافظة_دمشق,المحافظة_دير الزور,المحافظة_ريف دمشق,السكن_مخيم,السكن_ملك
6.0,65.0,50,2.0,10.0,1.0,150.0,2,100.0,1,10.0,4,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
9.0,70.0,90,3.0,10.0,1.0,150.0,1,3.0,1,2.0,4,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
9.0,75.0,75,1.0,6.0,1.0,400.0,1,5.0,1,1.0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
18.0,85.0,95,1.0,8.0,1.0,200.0,2,7.0,1,3.0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,80.0,40,2.0,5.0,1.0,400.0,3,40.0,1,15.0,2,2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
9.0,70.0,30,3.0,3.0,1.0,200.0,3,5.0,0,10.0,4,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9.0,77.0,80,3.0,6.0,1.0,250.0,1,3.0,1,7.0,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6.0,70.0,65,4.0,8.0,1.0,150.0,3,90.0,1,20.0,4,4,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
9.0,72.0,75,2.0,6.0,2.0,190.0,2,25.0,1,5.0,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6.0,50.0,90,3.0,1.0,2.0,100.0,3,5.0,0,15.0,1,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9.0,70.0,95,5.0,1.0,2.0,190.0,1,60.0,0,30.0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
12.0,75.0,40,2.0,8.0,1.0,160.0,5,110.0,1,5.0,4,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18.0,72.0,97,2.0,3.0,2.0,215.0,1,6.0,1,4.0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9.0,76.0,50,0.0,15.0,1.0,99.0,2,3.0,1,0.0,4,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
3.0,75.0,90,1.0,11.0,1.0,113.0,2,7.0,1,1.0,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
9.0,70.0,15,6.0,3.0,1.0,250.0,2,6.0,1,30.0,4,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3.0,70.0,30,2.0,20.0,3.0,250.0,3,120.0,0,2.0,4,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9.0,85.0,95,4.0,4.0,1.0,160.0,1,7.0,1,7.0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,70.0,10,1.0,1.0,1.0,170.0,4,20.0,1,1.0,2,4,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
6.0,70.0,10,3.0,10.0,3.0,200.0,2,20.0,1,20.0,4,2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
12.0,70.0,60,5.0,10.0,5.0,370.0,3,10.0,1,7.0,4,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,75.0,60,8.0,5.0,1.0,150.0,1,60.0,1,7.0,4,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9.0,80.0,75,1.0,8.0,2.0,170.0,1,6.0,1,7.0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9.0,75.0,70,1.0,5.0,1.0,200.0,3,0.5,1,1.0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
9.0,82.0,80,2.0,2.0,1.0,150.0,2,45.0,1,7.0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
9.0,70.0,75,1.0,8.0,1.0,400.0,1,1.0,1,3.0,3,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3.0,78.0,90,2.0,1.0,2.0,560.0,1,150.0,1,11.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,69.0,60,1.0,2.0,1.0,150.0,1,4.0,1,7.0,4,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
9.0,75.0,45,1.0,9.0,1.0,130.0,3,35.0,1,1.0,3,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
9.0,70.0,75,1.0,1.0,1.0,142.5,1,125.0,1,1.0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9.0,68.0,50,1.0,1.0,1.0,400.0,2,140.0,1,1.0,3,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
9.0,60.0,30,2.0,5.0,2.0,160.0,8,50.0,1,3.0,3,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
